symbol	category	provider_kind	resolution_kind	target_address	target_symbol	storage_size_hex	evidence	requesters	detail
abort	c-runtime	historical-archive	semantic-text-alias		snes_fatal_spin_00107578		reviewed-existing-global-text	ps2/gcc_fde_runtime_recovered.o;ps2/gcc_unwind_pe_recovered.o	source-model contract bound to an already recovered target entry
bRam0042c800	named-external	link-contract	absolute-target-anchor	0x0042c800			address-encoded-low-level-name	ps2/progress28_structural_lift_recovered.o	zero-byte address contract retained from the structural lift
bRam0042c801	named-external	link-contract	absolute-target-anchor	0x0042c801			address-encoded-low-level-name	ps2/progress28_structural_lift_recovered.o	zero-byte address contract retained from the structural lift
bRam0042e888	named-external	link-contract	absolute-target-anchor	0x0042e888			address-encoded-low-level-name	ps2/progress28_structural_lift_recovered.o	zero-byte address contract retained from the structural lift
cRam00426e2a	named-external	link-contract	absolute-target-anchor	0x00426e2a			address-encoded-low-level-name	ps2/progress28_structural_lift_recovered.o	zero-byte address contract retained from the structural lift
cRam00447700	named-external	link-contract	absolute-target-anchor	0x00447700			address-encoded-low-level-name	ps2/progress28_structural_lift_recovered.o	zero-byte address contract retained from the structural lift
cRam1fc7ff52	named-external	link-contract	absolute-target-anchor	0x1fc7ff52			address-encoded-low-level-name	ps2/progress28_structural_lift_recovered.o	zero-byte address contract retained from the structural lift
crc_table_001c8a80	named-external	link-contract	absolute-target-anchor	0x001c8a80			address-encoded-low-level-name	zlib/crc32_recovered.o	zero-byte address contract retained from the structural lift
errno	named-external	link-contract	compatibility-storage			0x4	requester-type-and-minimum-complete-extent	ps2/newlib_mathfp_recovered.o	zero-initialized compatibility storage only; exact initializer and final placement remain data-layout gates
fRam0042c804	named-external	link-contract	absolute-target-anchor	0x0042c804			address-encoded-low-level-name	ps2/progress28_structural_lift_recovered.o	zero-byte address contract retained from the structural lift
fRam0042c808	named-external	link-contract	absolute-target-anchor	0x0042c808			address-encoded-low-level-name	ps2/progress28_structural_lift_recovered.o	zero-byte address contract retained from the structural lift
fRam0042c80c	named-external	link-contract	absolute-target-anchor	0x0042c80c			address-encoded-low-level-name	ps2/progress28_structural_lift_recovered.o	zero-byte address contract retained from the structural lift
fRam0042c810	named-external	link-contract	absolute-target-anchor	0x0042c810			address-encoded-low-level-name	ps2/progress28_structural_lift_recovered.o	zero-byte address contract retained from the structural lift
fRam0042c814	named-external	link-contract	absolute-target-anchor	0x0042c814			address-encoded-low-level-name	ps2/progress28_structural_lift_recovered.o	zero-byte address contract retained from the structural lift
fRam0042c818	named-external	link-contract	absolute-target-anchor	0x0042c818			address-encoded-low-level-name	ps2/progress28_structural_lift_recovered.o	zero-byte address contract retained from the structural lift
fRam0042c81c	named-external	link-contract	absolute-target-anchor	0x0042c81c			address-encoded-low-level-name	ps2/progress28_structural_lift_recovered.o	zero-byte address contract retained from the structural lift
fixed_td_00425870	named-external	link-contract	absolute-target-anchor	0x00425870			address-encoded-low-level-name	zlib/inftrees_recovered.o	zero-byte address contract retained from the structural lift
fixed_tl_00424870	named-external	link-contract	absolute-target-anchor	0x00424870			address-encoded-low-level-name	zlib/inftrees_recovered.o	zero-byte address contract retained from the structural lift
g_Memory	named-program-data	program-data	compatibility-storage	0x0035e2b0		0x4	requester-type-and-minimum-complete-extent	app/main_flow_recovered.o	zero-initialized compatibility storage only; exact initializer and final placement remain data-layout gates
g_Settings_blob	named-program-data	program-data	compatibility-storage	0x003454e0		0x148	requester-type-and-minimum-complete-extent	app/main_flow_recovered.o	zero-initialized compatibility storage only; exact initializer and final placement remain data-layout gates
g_bg_bitshift	named-program-data	program-data	compatibility-storage	0x0035d454		0x4	requester-type-and-minimum-complete-extent	snes9x/tile_converter_recovered.o	zero-initialized compatibility storage only; exact initializer and final placement remain data-layout gates
g_bg_blob	named-program-data	program-data	compatibility-storage	0x0035d450		0x30	requester-type-and-minimum-complete-extent	snes9x/draw_large_pixel_recovered.o;snes9x/tile_16bit_recovered.o;snes9x/tile_color_math_recovered.o;snes9x/tile_draw_clipped_recovered.o;snes9x/tile_draw_recovered.o;snes9x/tile_large16_recovered.o;snes9x/tile_scaled_remaining_recovered.o;snes9x/tile_x2_recovered.o	zero-initialized compatibility storage only; exact initializer and final placement remain data-layout gates
g_direct_colour_maps	named-program-data	program-data	compatibility-storage	0x003f2f80		0x1000	requester-type-and-minimum-complete-extent	snes9x/draw_large_pixel_recovered.o;snes9x/tile_16bit_recovered.o;snes9x/tile_color_math_recovered.o;snes9x/tile_draw_clipped_recovered.o;snes9x/tile_draw_recovered.o;snes9x/tile_large16_recovered.o;snes9x/tile_scaled_remaining_recovered.o;snes9x/tile_x2_recovered.o	zero-initialized compatibility storage only; exact initializer and final placement remain data-layout gates
g_direct_colour_maps_need_rebuild	named-program-data	program-data	compatibility-storage	0x0035c26f		0x1	requester-type-and-minimum-complete-extent	snes9x/draw_large_pixel_recovered.o;snes9x/tile_16bit_recovered.o;snes9x/tile_color_math_recovered.o;snes9x/tile_draw_clipped_recovered.o;snes9x/tile_draw_recovered.o;snes9x/tile_large16_recovered.o;snes9x/tile_scaled_remaining_recovered.o;snes9x/tile_x2_recovered.o	zero-initialized compatibility storage only; exact initializer and final placement remain data-layout gates
g_even_high	named-program-data	program-data	compatibility-storage	0x0035fba0		0x100	requester-type-and-minimum-complete-extent	snes9x/tile_converter_recovered.o;snes9x/tile_lookup_tables_recovered.o	zero-initialized compatibility storage only; exact initializer and final placement remain data-layout gates
g_even_low	named-program-data	program-data	compatibility-storage	0x0035fca0		0x100	requester-type-and-minimum-complete-extent	snes9x/tile_converter_recovered.o;snes9x/tile_lookup_tables_recovered.o	zero-initialized compatibility storage only; exact initializer and final placement remain data-layout gates
g_gfx_blob	named-program-data	program-data	compatibility-storage	0x0035d480		0x50	requester-type-and-minimum-complete-extent	snes9x/draw_large_pixel_recovered.o;snes9x/tile_16bit_recovered.o;snes9x/tile_color_math_recovered.o;snes9x/tile_draw_clipped_recovered.o;snes9x/tile_draw_recovered.o;snes9x/tile_large16_recovered.o;snes9x/tile_pixel_helpers_recovered.o;snes9x/tile_scaled_remaining_recovered.o;snes9x/tile_x2_recovered.o	zero-initialized compatibility storage only; exact initializer and final placement remain data-layout gates
g_head_mask	named-program-data	program-data	compatibility-storage	0x003f4040		0x10	requester-type-and-minimum-complete-extent	snes9x/tile_16bit_recovered.o;snes9x/tile_color_math_recovered.o;snes9x/tile_draw_clipped_recovered.o;snes9x/tile_scaled_remaining_recovered.o	zero-initialized compatibility storage only; exact initializer and final placement remain data-layout gates
g_loaded_rom_path	named-program-data	program-data	compatibility-storage	0x0035b328		0x800	requester-type-and-minimum-complete-extent	ps2/path_helpers_recovered.o	zero-initialized compatibility storage only; exact initializer and final placement remain data-layout gates
g_memory_card_available	named-program-data	program-data	compatibility-storage			0x4	requester-type-and-minimum-complete-extent	app/main_flow_recovered.o	zero-initialized compatibility storage only; exact initializer and final placement remain data-layout gates
g_memory_vram	named-program-data	program-data	compatibility-storage	0x0034e2b8		0x4	requester-type-and-minimum-complete-extent	snes9x/tile_converter_recovered.o	zero-initialized compatibility storage only; exact initializer and final placement remain data-layout gates
g_odd_high	named-program-data	program-data	compatibility-storage	0x0035f9a0		0x100	requester-type-and-minimum-complete-extent	snes9x/tile_converter_recovered.o;snes9x/tile_lookup_tables_recovered.o	zero-initialized compatibility storage only; exact initializer and final placement remain data-layout gates
g_odd_low	named-program-data	program-data	compatibility-storage	0x0035faa0		0x100	requester-type-and-minimum-complete-extent	snes9x/tile_converter_recovered.o;snes9x/tile_lookup_tables_recovered.o	zero-initialized compatibility storage only; exact initializer and final placement remain data-layout gates
g_p12_memory	named-program-data	program-data	compatibility-storage	0x0034e2b0		0x1b078	requester-type-and-minimum-complete-extent	ps2/progress12_io_state_recovered.o	zero-initialized compatibility storage only; exact initializer and final placement remain data-layout gates
g_p12_sdd1_dat_extension	named-program-data	program-data	compatibility-storage	0x001b8050		0x5	requester-type-and-minimum-complete-extent	ps2/progress12_io_state_recovered.o	zero-initialized compatibility storage only; exact initializer and final placement remain data-layout gates
g_screen_colors	named-program-data	program-data	compatibility-storage	0x0035ceb0		0x200	requester-type-and-minimum-complete-extent	snes9x/draw_large_pixel_recovered.o;snes9x/tile_16bit_recovered.o;snes9x/tile_color_math_recovered.o;snes9x/tile_draw_clipped_recovered.o;snes9x/tile_draw_recovered.o;snes9x/tile_large16_recovered.o;snes9x/tile_scaled_remaining_recovered.o;snes9x/tile_x2_recovered.o	zero-initialized compatibility storage only; exact initializer and final placement remain data-layout gates
g_selected_rom_path	named-program-data	program-data	compatibility-storage	0x00428180		0x400	requester-type-and-minimum-complete-extent	app/main_flow_recovered.o	zero-initialized compatibility storage only; exact initializer and final placement remain data-layout gates
g_settings_54	named-program-data	program-data	compatibility-storage	0x00345534		0x1	requester-type-and-minimum-complete-extent	snes9x/sram_recovered.o	zero-initialized compatibility storage only; exact initializer and final placement remain data-layout gates
g_settings_64	named-program-data	program-data	compatibility-storage	0x00345544		0x1	requester-type-and-minimum-complete-extent	snes9x/sram_recovered.o	zero-initialized compatibility storage only; exact initializer and final placement remain data-layout gates
g_settings_66	named-program-data	program-data	compatibility-storage	0x00345546		0x1	requester-type-and-minimum-complete-extent	snes9x/sram_recovered.o	zero-initialized compatibility storage only; exact initializer and final placement remain data-layout gates
g_shrink_workspace_recovered	named-program-data	program-data	compatibility-storage			0x6000	requester-type-and-minimum-complete-extent	unzip/unshrink_recovered.o	zero-initialized compatibility storage only; exact initializer and final placement remain data-layout gates
g_special_load_flag	named-program-data	program-data	compatibility-storage	0x00345544		0x1	requester-type-and-minimum-complete-extent	snes9x/sram_recovered.o	zero-initialized compatibility storage only; exact initializer and final placement remain data-layout gates
g_special_save_enable	named-program-data	program-data	compatibility-storage	0x0035b328		0x1	requester-type-and-minimum-complete-extent	snes9x/sram_recovered.o	zero-initialized compatibility storage only; exact initializer and final placement remain data-layout gates
g_sram	named-program-data	program-data	compatibility-storage	0x0034e298		0x4	requester-type-and-minimum-complete-extent	snes9x/sram_recovered.o	zero-initialized compatibility storage only; exact initializer and final placement remain data-layout gates
g_sram_initial_value	named-program-data	program-data	compatibility-storage	0x0035b73c		0x1	requester-type-and-minimum-complete-extent	snes9x/sram_recovered.o	zero-initialized compatibility storage only; exact initializer and final placement remain data-layout gates
g_sram_size	named-program-data	program-data	compatibility-storage	0x0034e2d4		0x1	requester-type-and-minimum-complete-extent	snes9x/sram_recovered.o	zero-initialized compatibility storage only; exact initializer and final placement remain data-layout gates
g_tail_mask	named-program-data	program-data	compatibility-storage	0x003f4050		0x14	requester-type-and-minimum-complete-extent	snes9x/tile_16bit_recovered.o;snes9x/tile_color_math_recovered.o;snes9x/tile_draw_clipped_recovered.o;snes9x/tile_scaled_remaining_recovered.o	zero-initialized compatibility storage only; exact initializer and final placement remain data-layout gates
g_tile_cache_state	named-program-data	program-data	compatibility-storage	0x0035c268		0x34	requester-type-and-minimum-complete-extent	snes9x/memory_init_recovered.o	zero-initialized compatibility storage only; exact initializer and final placement remain data-layout gates
g_unz_ops_recovered	named-program-data	program-data	compatibility-storage			0x18	requester-type-and-minimum-complete-extent	unzip/unzip_api_recovered.o	zero-initialized compatibility storage only; exact initializer and final placement remain data-layout gates
g_zip_io_recovered	named-program-data	program-data	compatibility-storage			0xa040	requester-type-and-minimum-complete-extent	unzip/explode_recovered.o;unzip/unreduce_recovered.o;unzip/unshrink_recovered.o	zero-initialized compatibility storage only; exact initializer and final placement remain data-layout gates
iRam00426e2c	named-external	link-contract	absolute-target-anchor	0x00426e2c			address-encoded-low-level-name	ps2/progress28_structural_lift_recovered.o	zero-byte address contract retained from the structural lift
iRam00426e34	named-external	link-contract	absolute-target-anchor	0x00426e34			address-encoded-low-level-name	ps2/progress28_structural_lift_recovered.o	zero-byte address contract retained from the structural lift
iRam00426e38	named-external	link-contract	absolute-target-anchor	0x00426e38			address-encoded-low-level-name	ps2/progress28_structural_lift_recovered.o	zero-byte address contract retained from the structural lift
iRam00426e40	named-external	link-contract	absolute-target-anchor	0x00426e40			address-encoded-low-level-name	ps2/progress28_structural_lift_recovered.o	zero-byte address contract retained from the structural lift
iRam00426e80	named-external	link-contract	absolute-target-anchor	0x00426e80			address-encoded-low-level-name	ps2/progress28_structural_lift_recovered.o	zero-byte address contract retained from the structural lift
iRam00427000	named-external	link-contract	absolute-target-anchor	0x00427000			address-encoded-low-level-name	ps2/progress28_structural_lift_recovered.o	zero-byte address contract retained from the structural lift
iRam00427004	named-external	link-contract	absolute-target-anchor	0x00427004			address-encoded-low-level-name	ps2/progress28_structural_lift_recovered.o	zero-byte address contract retained from the structural lift
iRam00427008	named-external	link-contract	absolute-target-anchor	0x00427008			address-encoded-low-level-name	ps2/progress28_structural_lift_recovered.o	zero-byte address contract retained from the structural lift
iRam00427010	named-external	link-contract	absolute-target-anchor	0x00427010			address-encoded-low-level-name	ps2/progress28_structural_lift_recovered.o	zero-byte address contract retained from the structural lift
iRam0042c764	named-external	link-contract	absolute-target-anchor	0x0042c764			address-encoded-low-level-name	ps2/progress28_structural_lift_recovered.o	zero-byte address contract retained from the structural lift
iRam0042c7a4	named-external	link-contract	absolute-target-anchor	0x0042c7a4			address-encoded-low-level-name	ps2/progress28_structural_lift_recovered.o	zero-byte address contract retained from the structural lift
iRam0042c7e4	named-external	link-contract	absolute-target-anchor	0x0042c7e4			address-encoded-low-level-name	ps2/progress28_structural_lift_recovered.o	zero-byte address contract retained from the structural lift
iRam0042e87c	named-external	link-contract	absolute-target-anchor	0x0042e87c			address-encoded-low-level-name	ps2/progress28_structural_lift_recovered.o	zero-byte address contract retained from the structural lift
iRam0042e880	named-external	link-contract	absolute-target-anchor	0x0042e880			address-encoded-low-level-name	ps2/progress28_structural_lift_recovered.o	zero-byte address contract retained from the structural lift
iRam0042e884	named-external	link-contract	absolute-target-anchor	0x0042e884			address-encoded-low-level-name	ps2/progress28_structural_lift_recovered.o	zero-byte address contract retained from the structural lift
iRam0043ecc0	named-external	link-contract	absolute-target-anchor	0x0043ecc0			address-encoded-low-level-name	ps2/progress28_structural_lift_recovered.o	zero-byte address contract retained from the structural lift
iRam0043ecc4	named-external	link-contract	absolute-target-anchor	0x0043ecc4			address-encoded-low-level-name	ps2/progress28_structural_lift_recovered.o	zero-byte address contract retained from the structural lift
iRam0043ecc8	named-external	link-contract	absolute-target-anchor	0x0043ecc8			address-encoded-low-level-name	ps2/progress28_structural_lift_recovered.o	zero-byte address contract retained from the structural lift
iRam0043eccc	named-external	link-contract	absolute-target-anchor	0x0043eccc			address-encoded-low-level-name	ps2/progress28_structural_lift_recovered.o	zero-byte address contract retained from the structural lift
isinf	named-external	link-contract	compatibility-runtime-shim				deterministic-ee-source-model-shim	ps2/libgcc_runtime_recovered.o	linkable compatibility implementation; historical archive-member identity is not claimed
isnan	named-external	link-contract	compatibility-runtime-shim				deterministic-ee-source-model-shim	ps2/libgcc_runtime_recovered.o	linkable compatibility implementation; historical archive-member identity is not claimed
lrintf	named-external	link-contract	compatibility-runtime-shim				deterministic-ee-source-model-shim	ps2/progress11_frontend_recovered.o;snes9x/progress13_core_helpers_recovered.o	linkable compatibility implementation; historical archive-member identity is not claimed
operator_new_u32	named-external	link-contract	semantic-text-alias		snes_p13_operator_new		reviewed-existing-global-text	app/main_bootstrap.o	source-model contract bound to an already recovered target entry
ps2_add_intc_handler_recovered	named-external	link-contract	compatibility-runtime-shim				deterministic-ee-source-model-shim	ps2/gsdriver_recovered.o	linkable compatibility implementation; historical archive-member identity is not claimed
ps2_bios_syscall_2_recovered	named-external	link-contract	compatibility-runtime-shim				deterministic-ee-source-model-shim	ps2/gsdriver_recovered.o	linkable compatibility implementation; historical archive-member identity is not claimed
ps2_disable_intc_recovered	named-external	link-contract	compatibility-runtime-shim				deterministic-ee-source-model-shim	ps2/gsdriver_recovered.o	linkable compatibility implementation; historical archive-member identity is not claimed
ps2_enable_intc_recovered	named-external	link-contract	compatibility-runtime-shim				deterministic-ee-source-model-shim	ps2/gsdriver_recovered.o	linkable compatibility implementation; historical archive-member identity is not claimed
ps2_gs_put_imr_recovered	named-external	link-contract	compatibility-runtime-shim				deterministic-ee-source-model-shim	ps2/gsdriver_recovered.o	linkable compatibility implementation; historical archive-member identity is not claimed
ps2_remove_intc_handler_recovered	named-external	link-contract	compatibility-runtime-shim				deterministic-ee-source-model-shim	ps2/gsdriver_recovered.o	linkable compatibility implementation; historical archive-member identity is not claimed
puRam00426fc4	named-external	link-contract	absolute-target-anchor	0x00426fc4			address-encoded-low-level-name	ps2/progress28_structural_lift_recovered.o	zero-byte address contract retained from the structural lift
puRam00447754	named-external	link-contract	absolute-target-anchor	0x00447754			address-encoded-low-level-name	ps2/progress28_structural_lift_recovered.o	zero-byte address contract retained from the structural lift
puRam00447758	named-external	link-contract	absolute-target-anchor	0x00447758			address-encoded-low-level-name	ps2/progress28_structural_lift_recovered.o	zero-byte address contract retained from the structural lift
s_THIS_SCRIPT_WAS_STOLEN_001b6ed0	named-external	link-contract	absolute-target-anchor	0x001b6ed0			address-encoded-low-level-name	ps2/progress28_structural_lift_recovered.o	zero-byte address contract retained from the structural lift
snes_data_001b0000	named-external	link-contract	absolute-target-anchor	0x001b0000			address-encoded-low-level-name	ps2/address_leaf_recovered.o	zero-byte address contract retained from the structural lift
snes_p12_compare_sdd1_entries	named-external	link-contract	absolute-target-anchor	0x0016fac4			reviewed-target-or-hardware-address	ps2/progress12_io_state_recovered.o	reviewed low-level address binding; no storage bytes emitted
snes_p12_fio_close	named-external	link-contract	semantic-text-alias		fioClose_0019d090		reviewed-existing-global-text	ps2/progress12_io_state_recovered.o	source-model contract bound to an already recovered target entry
snes_p12_fio_open	named-external	link-contract	semantic-text-alias		fioOpen_0019cfc0		reviewed-existing-global-text	ps2/progress12_io_state_recovered.o	source-model contract bound to an already recovered target entry
snes_p12_fio_read	named-external	link-contract	semantic-text-alias		fioRead_0019d120		reviewed-existing-global-text	ps2/progress12_io_state_recovered.o	source-model contract bound to an already recovered target entry
snes_p12_fio_write	named-external	link-contract	semantic-text-alias		fioWrite_0019d244		reviewed-existing-global-text	ps2/progress12_io_state_recovered.o	source-model contract bound to an already recovered target entry
snes_p12_get_filename	named-external	link-contract	absolute-target-anchor	0x00101924			reviewed-target-or-hardware-address	ps2/progress12_io_state_recovered.o	reviewed low-level address binding; no storage bytes emitted
