symbol	target_address	status	section	section_offset_hex	access_extent_hex	coverage_kind	requesters	claim
DAT_001ebd42	0x001ebd42	SECTION_BACKED_ADDRESS	.data.stage3f.va_001ebd41	0x1	0x1	direct-access	ps2/progress28_structural_lift_recovered.o	section-backed address only; complete C object/array extent unproved
DAT_001ebd43	0x001ebd43	SECTION_BACKED_ADDRESS	.data.stage3f.va_001ebd41	0x2	0x1	direct-access	ps2/progress28_structural_lift_recovered.o	section-backed address only; complete C object/array extent unproved
DAT_001ebd44	0x001ebd44	SECTION_BACKED_ADDRESS	.data.stage3f.va_001ebd41	0x3	0x1	direct-access	ps2/progress28_structural_lift_recovered.o	section-backed address only; complete C object/array extent unproved
DAT_001ebd45	0x001ebd45	SECTION_BACKED_ADDRESS	.data.stage3f.va_001ebd41	0x4	0x1	direct-access	ps2/progress28_structural_lift_recovered.o	section-backed address only; complete C object/array extent unproved
DAT_001ebd46	0x001ebd46	SECTION_BACKED_ADDRESS	.data.stage3f.va_001ebd41	0x5	0x1	direct-access	ps2/progress28_structural_lift_recovered.o	section-backed address only; complete C object/array extent unproved
DAT_001ebd48	0x001ebd48	SECTION_BACKED_ADDRESS	.data.stage3f.va_001ebd48	0x0	0x4	direct-access	ps2/progress28_structural_lift_recovered.o	section-backed address only; complete C object/array extent unproved
DAT_001ebd4c	0x001ebd4c	SECTION_BACKED_ADDRESS	.data.stage3f.va_001ebd48	0x4	0x4	direct-access	ps2/progress28_structural_lift_recovered.o	section-backed address only; complete C object/array extent unproved
DAT_001ebd50	0x001ebd50	SECTION_BACKED_ADDRESS	.data.stage3f.va_001ebd48	0x8	0x4	direct-access	ps2/progress28_structural_lift_recovered.o	section-backed address only; complete C object/array extent unproved
DAT_001ebd54	0x001ebd54	SECTION_BACKED_ADDRESS	.data.stage3f.va_001ebd48	0xc	0x4	direct-access	ps2/progress28_structural_lift_recovered.o	section-backed address only; complete C object/array extent unproved
DAT_001ebd58	0x001ebd58	SECTION_BACKED_ADDRESS	.data.stage3f.va_001ebd48	0x10	0x4	direct-access	ps2/progress28_structural_lift_recovered.o	section-backed address only; complete C object/array extent unproved
DAT_001ebd5c	0x001ebd5c	SECTION_BACKED_ADDRESS	.data.stage3f.va_001ebd48	0x14	0x4	direct-access	ps2/progress28_structural_lift_recovered.o	section-backed address only; complete C object/array extent unproved
DAT_001ebe00	0x001ebe00	SECTION_BACKED_ADDRESS	.data.stage3f.va_001ebe00	0x0	0x3c4	direct-access	ps2/progress28_structural_lift_recovered.o	section-backed address only; complete C object/array extent unproved
DAT_001ebe01	0x001ebe01	SECTION_BACKED_ADDRESS	.data.stage3f.va_001ebe00	0x1		interior-address-only	ps2/progress28_structural_lift_recovered.o	section-backed address only; complete C object/array extent unproved
DAT_001ebe02	0x001ebe02	SECTION_BACKED_ADDRESS	.data.stage3f.va_001ebe00	0x2		interior-address-only	ps2/progress28_structural_lift_recovered.o	section-backed address only; complete C object/array extent unproved
DAT_001ebe03	0x001ebe03	SECTION_BACKED_ADDRESS	.data.stage3f.va_001ebe00	0x3		interior-address-only	ps2/progress28_structural_lift_recovered.o	section-backed address only; complete C object/array extent unproved
DAT_001ebe06	0x001ebe06	SECTION_BACKED_ADDRESS	.data.stage3f.va_001ebe00	0x6		interior-address-only	ps2/progress28_structural_lift_recovered.o	section-backed address only; complete C object/array extent unproved
DAT_001ebe0c	0x001ebe0c	SECTION_BACKED_ADDRESS	.data.stage3f.va_001ebe00	0xc		interior-address-only	ps2/progress28_structural_lift_recovered.o	section-backed address only; complete C object/array extent unproved
DAT_001ebe50	0x001ebe50	SECTION_BACKED_ADDRESS	.data.stage3f.va_001ebe00	0x50		interior-address-only	ps2/progress28_structural_lift_recovered.o	section-backed address only; complete C object/array extent unproved
DAT_001ebe54	0x001ebe54	SECTION_BACKED_ADDRESS	.data.stage3f.va_001ebe00	0x54		interior-address-only	ps2/progress28_structural_lift_recovered.o	section-backed address only; complete C object/array extent unproved
DAT_001ebe58	0x001ebe58	SECTION_BACKED_ADDRESS	.data.stage3f.va_001ebe00	0x58		interior-address-only	ps2/progress28_structural_lift_recovered.o	section-backed address only; complete C object/array extent unproved
DAT_001ebe60	0x001ebe60	SECTION_BACKED_ADDRESS	.data.stage3f.va_001ebe00	0x60		interior-address-only	ps2/progress28_structural_lift_recovered.o	section-backed address only; complete C object/array extent unproved
DAT_001ebe64	0x001ebe64	SECTION_BACKED_ADDRESS	.data.stage3f.va_001ebe00	0x64		interior-address-only	ps2/progress28_structural_lift_recovered.o	section-backed address only; complete C object/array extent unproved
DAT_001ebe68	0x001ebe68	SECTION_BACKED_ADDRESS	.data.stage3f.va_001ebe00	0x68		interior-address-only	ps2/progress28_structural_lift_recovered.o	section-backed address only; complete C object/array extent unproved
DAT_001ebe70	0x001ebe70	SECTION_BACKED_ADDRESS	.data.stage3f.va_001ebe00	0x70		interior-address-only	ps2/progress28_structural_lift_recovered.o	section-backed address only; complete C object/array extent unproved
DAT_001ebe74	0x001ebe74	SECTION_BACKED_ADDRESS	.data.stage3f.va_001ebe00	0x74		interior-address-only	ps2/progress28_structural_lift_recovered.o	section-backed address only; complete C object/array extent unproved
DAT_001ebe78	0x001ebe78	SECTION_BACKED_ADDRESS	.data.stage3f.va_001ebe00	0x78		interior-address-only	ps2/progress28_structural_lift_recovered.o	section-backed address only; complete C object/array extent unproved
DAT_001ebe80	0x001ebe80	SECTION_BACKED_ADDRESS	.data.stage3f.va_001ebe00	0x80		interior-address-only	ps2/progress28_structural_lift_recovered.o	section-backed address only; complete C object/array extent unproved
DAT_001ebe84	0x001ebe84	SECTION_BACKED_ADDRESS	.data.stage3f.va_001ebe00	0x84		interior-address-only	ps2/progress28_structural_lift_recovered.o	section-backed address only; complete C object/array extent unproved
DAT_001ebe88	0x001ebe88	SECTION_BACKED_ADDRESS	.data.stage3f.va_001ebe00	0x88		interior-address-only	ps2/progress28_structural_lift_recovered.o	section-backed address only; complete C object/array extent unproved
DAT_001ebe90	0x001ebe90	SECTION_BACKED_ADDRESS	.data.stage3f.va_001ebe00	0x90		interior-address-only	ps2/progress28_structural_lift_recovered.o	section-backed address only; complete C object/array extent unproved
DAT_001ebe94	0x001ebe94	SECTION_BACKED_ADDRESS	.data.stage3f.va_001ebe00	0x94		interior-address-only	ps2/progress28_structural_lift_recovered.o	section-backed address only; complete C object/array extent unproved
DAT_001ebe98	0x001ebe98	SECTION_BACKED_ADDRESS	.data.stage3f.va_001ebe00	0x98		interior-address-only	ps2/progress28_structural_lift_recovered.o	section-backed address only; complete C object/array extent unproved
DAT_001ebea0	0x001ebea0	SECTION_BACKED_ADDRESS	.data.stage3f.va_001ebe00	0xa0		interior-address-only	ps2/progress28_structural_lift_recovered.o	section-backed address only; complete C object/array extent unproved
DAT_001ebea4	0x001ebea4	SECTION_BACKED_ADDRESS	.data.stage3f.va_001ebe00	0xa4		interior-address-only	ps2/progress28_structural_lift_recovered.o	section-backed address only; complete C object/array extent unproved
DAT_001ebea8	0x001ebea8	SECTION_BACKED_ADDRESS	.data.stage3f.va_001ebe00	0xa8		interior-address-only	ps2/progress28_structural_lift_recovered.o	section-backed address only; complete C object/array extent unproved
DAT_001ebeb0	0x001ebeb0	SECTION_BACKED_ADDRESS	.data.stage3f.va_001ebe00	0xb0		interior-address-only	ps2/progress28_structural_lift_recovered.o	section-backed address only; complete C object/array extent unproved
DAT_001ebeb4	0x001ebeb4	SECTION_BACKED_ADDRESS	.data.stage3f.va_001ebe00	0xb4		interior-address-only	ps2/progress28_structural_lift_recovered.o	section-backed address only; complete C object/array extent unproved
DAT_001ebeb8	0x001ebeb8	SECTION_BACKED_ADDRESS	.data.stage3f.va_001ebe00	0xb8		interior-address-only	ps2/progress28_structural_lift_recovered.o	section-backed address only; complete C object/array extent unproved
DAT_001ec1c4	0x001ec1c4	SECTION_BACKED_ADDRESS	.data.stage3f.va_001ebe00	0x3c4	0x4	direct-access	ps2/progress28_structural_lift_recovered.o	section-backed address only; complete C object/array extent unproved
DAT_001f40d4	0x001f40d4	SECTION_BACKED_ADDRESS	.data.private_asset.cdvd_irx	0x7dd4	0x4	direct-access	ps2/progress28_structural_lift_recovered.o	section-backed address only; complete C object/array extent unproved
DAT_001f60c8	0x001f60c8	SECTION_BACKED_ADDRESS	.data.private_asset.sjpcm_irx	0x1fc8	0x4	direct-access	ps2/progress28_structural_lift_recovered.o	section-backed address only; complete C object/array extent unproved
DAT_001fafa0	0x001fafa0	SECTION_BACKED_ADDRESS	.data.private_asset.amigamod_irx	0x4e60	0x4	direct-access	ps2/progress28_structural_lift_recovered.o	section-backed address only; complete C object/array extent unproved
DAT_002ebc30	0x002ebc30	SECTION_BACKED_ADDRESS	.data.private_asset.credits_text	0x0		interior-address-only	ps2/progress28_structural_lift_recovered.o	section-backed address only; complete C object/array extent unproved
DAT_002ec1f4	0x002ec1f4	SECTION_BACKED_ADDRESS	.data.private_asset.credits_text	0x5c4	0x4	direct-access	ps2/progress28_structural_lift_recovered.o	section-backed address only; complete C object/array extent unproved
DAT_002ec200	0x002ec200	SECTION_BACKED_ADDRESS	.data.private_asset.disclaimer_text	0x0		interior-address-only	ps2/progress28_structural_lift_recovered.o	section-backed address only; complete C object/array extent unproved
DAT_002ec53c	0x002ec53c	SECTION_BACKED_ADDRESS	.data.private_asset.disclaimer_text	0x33c	0x4	direct-access	ps2/progress28_structural_lift_recovered.o	section-backed address only; complete C object/array extent unproved
DAT_00335278	0x00335278	SECTION_BACKED_ADDRESS	.data.stage3f.va_00335278	0x0	0x4	direct-access	ps2/progress28_structural_lift_recovered.o	section-backed address only; complete C object/array extent unproved
DAT_00335280	0x00335280	SECTION_BACKED_ADDRESS	.data.stage3f.va_00335280	0x0	0x4	direct-access	ps2/progress28_structural_lift_recovered.o	section-backed address only; complete C object/array extent unproved
DAT_00335370	0x00335370	SECTION_BACKED_ADDRESS	.data.stage3f.history.va_00335370	0x0	0x4	direct-access	ps2/progress28_structural_lift_recovered.o	section-backed address only; complete C object/array extent unproved
DAT_00335374	0x00335374	SECTION_BACKED_ADDRESS	.data.stage3f.history.va_00335374	0x0		historical-source-owner	ps2/progress28_structural_lift_recovered.o	section-backed address only; complete C object/array extent unproved
DAT_00335378	0x00335378	SECTION_BACKED_ADDRESS	.data.stage3f.history.va_00335378	0x0	0x100	direct-access	ps2/progress28_structural_lift_recovered.o	section-backed address only; complete C object/array extent unproved
DAT_00335478	0x00335478	SECTION_BACKED_ADDRESS	.data.stage3f.history.va_00335478	0x0		historical-source-owner	ps2/progress28_structural_lift_recovered.o	section-backed address only; complete C object/array extent unproved
DAT_003354f8	0x003354f8	SECTION_BACKED_ADDRESS	.data.stage3f.history.va_003354f8	0x0		historical-source-owner	ps2/progress28_structural_lift_recovered.o	section-backed address only; complete C object/array extent unproved
DAT_00335538	0x00335538	SECTION_BACKED_ADDRESS	.data.stage3f.history.va_00335538	0x0		historical-source-owner	ps2/progress28_structural_lift_recovered.o	section-backed address only; complete C object/array extent unproved
DAT_00335638	0x00335638	SECTION_BACKED_ADDRESS	.data.stage3f.history.va_00335638	0x0		historical-source-owner	ps2/progress28_structural_lift_recovered.o	section-backed address only; complete C object/array extent unproved
DAT_00335738	0x00335738	SECTION_BACKED_ADDRESS	.data.stage3f.history.va_00335738	0x0		historical-source-owner	ps2/progress28_structural_lift_recovered.o	section-backed address only; complete C object/array extent unproved
DAT_00335938	0x00335938	SECTION_BACKED_ADDRESS	.data.stage3f.history.va_00335938	0x0	0x2	direct-access	ps2/progress28_structural_lift_recovered.o	section-backed address only; complete C object/array extent unproved
DAT_00335939	0x00335939	SECTION_BACKED_ADDRESS	.data.stage3f.history.va_00335938	0x1	0x1	direct-access	ps2/progress28_structural_lift_recovered.o	section-backed address only; complete C object/array extent unproved
DAT_0033593a	0x0033593a	SECTION_BACKED_ADDRESS	.data.stage3f.history.va_0033593a	0x0	0x2	direct-access	ps2/progress28_structural_lift_recovered.o	section-backed address only; complete C object/array extent unproved
DAT_0033593b	0x0033593b	SECTION_BACKED_ADDRESS	.data.stage3f.history.va_0033593a	0x1	0x1	direct-access	ps2/progress28_structural_lift_recovered.o	section-backed address only; complete C object/array extent unproved
DAT_0033593c	0x0033593c	SECTION_BACKED_ADDRESS	.data.stage3f.history.va_0033593c	0x0	0x2	direct-access	ps2/progress28_structural_lift_recovered.o	section-backed address only; complete C object/array extent unproved
DAT_0033593e	0x0033593e	SECTION_BACKED_ADDRESS	.data.stage3f.history.va_0033593e	0x0	0x2	direct-access	ps2/progress28_structural_lift_recovered.o	section-backed address only; complete C object/array extent unproved
DAT_00335940	0x00335940	SECTION_BACKED_ADDRESS	.data.stage3f.history.va_00335940	0x0	0x2	direct-access	ps2/progress28_structural_lift_recovered.o	section-backed address only; complete C object/array extent unproved
DAT_00335942	0x00335942	SECTION_BACKED_ADDRESS	.data.stage3f.history.va_00335942	0x0	0x2	direct-access	ps2/progress28_structural_lift_recovered.o	section-backed address only; complete C object/array extent unproved
DAT_00335944	0x00335944	SECTION_BACKED_ADDRESS	.data.stage3f.history.va_00335944	0x0	0x2	direct-access	ps2/progress28_structural_lift_recovered.o	section-backed address only; complete C object/array extent unproved
DAT_00335946	0x00335946	SECTION_BACKED_ADDRESS	.data.stage3f.history.va_00335946	0x0	0x2	direct-access	ps2/progress28_structural_lift_recovered.o	section-backed address only; complete C object/array extent unproved
DAT_00335947	0x00335947	SECTION_BACKED_ADDRESS	.data.stage3f.history.va_00335946	0x1		historical-source-owner	ps2/progress28_structural_lift_recovered.o	section-backed address only; complete C object/array extent unproved
DAT_00335948	0x00335948	SECTION_BACKED_ADDRESS	.data.stage3f.history.va_00335948	0x0	0x2	direct-access	ps2/progress28_structural_lift_recovered.o	section-backed address only; complete C object/array extent unproved
DAT_00335949	0x00335949	SECTION_BACKED_ADDRESS	.data.stage3f.history.va_00335948	0x1		historical-source-owner	ps2/progress28_structural_lift_recovered.o	section-backed address only; complete C object/array extent unproved
DAT_0033594a	0x0033594a	SECTION_BACKED_ADDRESS	.data.stage3f.history.va_0033594a	0x0	0x2	direct-access	ps2/progress28_structural_lift_recovered.o	section-backed address only; complete C object/array extent unproved
DAT_0033594b	0x0033594b	SECTION_BACKED_ADDRESS	.data.stage3f.history.va_0033594a	0x1	0x1	direct-access	ps2/progress28_structural_lift_recovered.o	section-backed address only; complete C object/array extent unproved
DAT_0033594c	0x0033594c	SECTION_BACKED_ADDRESS	.data.stage3f.history.va_0033594c	0x0		historical-source-owner	ps2/progress28_structural_lift_recovered.o	section-backed address only; complete C object/array extent unproved
DAT_0033594d	0x0033594d	SECTION_BACKED_ADDRESS	.data.stage3f.history.va_0033594c	0x1		historical-source-owner	ps2/progress28_structural_lift_recovered.o	section-backed address only; complete C object/array extent unproved
