address	name	area	work_packet	working_translation_unit	priority	source_model	matching_gate	next_action
0x00103b34	snes_p16_00103b34	frontend-core	frontend-ui	src/ps2/frontend_ui_recovered.cpp	P2	src/ps2/progress22_more_small_helpers_recovered.c;src/ps2/progress28_structural_lift_recovered.c	strict EE GCC 3.2.2 object vs hash-pinned unpacked ELF; precise MIPS relocation masks only	split UI/GS ownership; recover class and global layouts; compile corridor with EE C++
0x00103dd4	snes_p16_00103dd4	frontend-core	frontend-ui	src/ps2/frontend_ui_recovered.cpp	P2	src/ps2/progress28_structural_lift_recovered.c	strict EE GCC 3.2.2 object vs hash-pinned unpacked ELF; precise MIPS relocation masks only	split UI/GS ownership; recover class and global layouts; compile corridor with EE C++
0x00104234	snes_p16_00104234	frontend-core	frontend-ui	src/ps2/frontend_ui_recovered.cpp	P2	src/ps2/progress22_more_small_helpers_recovered.c;src/ps2/progress28_structural_lift_recovered.c	strict EE GCC 3.2.2 object vs hash-pinned unpacked ELF; precise MIPS relocation masks only	split UI/GS ownership; recover class and global layouts; compile corridor with EE C++
0x00104358	snes_p11_00104358	frontend	frontend-ui	src/ps2/frontend_ui_recovered.cpp	P2	src/ps2/progress11_frontend_recovered.c;src/ps2/progress28_structural_lift_recovered.c	strict EE GCC 3.2.2 object vs hash-pinned unpacked ELF; precise MIPS relocation masks only	split UI/GS ownership; recover class and global layouts; compile corridor with EE C++
0x00104418	snes_p16_00104418	frontend-core	frontend-ui	src/ps2/frontend_ui_recovered.cpp	P2	src/ps2/progress28_structural_lift_recovered.c	strict EE GCC 3.2.2 object vs hash-pinned unpacked ELF; precise MIPS relocation masks only	split UI/GS ownership; recover class and global layouts; compile corridor with EE C++
0x00104a54	mtapPortClose_00104a54	multitap	multitap	src/ps2/libmtap_recovered.c	P1	src/app/main_flow_recovered.c;src/ps2/libmtap_recovered.c;src/ps2/progress28_structural_lift_recovered.c	strict EE GCC 3.2.2 object vs hash-pinned unpacked ELF; precise MIPS relocation masks only	pin PS2SDK/libmtap lineage and RPC prototypes; compile the two omitted calls
0x00104bbc	mtapGetConnection_00104bbc	multitap	multitap	src/ps2/libmtap_recovered.c	P1	src/ps2/libmtap_recovered.c;src/ps2/progress28_structural_lift_recovered.c	strict EE GCC 3.2.2 object vs hash-pinned unpacked ELF; precise MIPS relocation masks only	pin PS2SDK/libmtap lineage and RPC prototypes; compile the two omitted calls
0x00104f18	main	frontend	frontend-lifecycle	src/app/main_frontend_recovered.cpp	P1	src/app/main_bootstrap.c;src/ps2/progress28_structural_lift_recovered.c	strict EE GCC 3.2.2 object vs hash-pinned unpacked ELF; precise MIPS relocation masks only	split main/path/memory-card helpers; pin globals and link order; compare per function
0x00105898	snes_p16_00105898	frontend-core	frontend-lifecycle	src/app/main_frontend_recovered.cpp	P1	src/ps2/path_helpers_recovered.c;src/ps2/progress28_structural_lift_recovered.c	strict EE GCC 3.2.2 object vs hash-pinned unpacked ELF; precise MIPS relocation masks only	split main/path/memory-card helpers; pin globals and link order; compare per function
0x00105ae8	snes_p16_00105ae8	frontend-core	frontend-lifecycle	src/app/main_frontend_recovered.cpp	P1	src/ps2/path_helpers_recovered.c;src/ps2/progress28_structural_lift_recovered.c	strict EE GCC 3.2.2 object vs hash-pinned unpacked ELF; precise MIPS relocation masks only	split main/path/memory-card helpers; pin globals and link order; compare per function
0x00105e48	snes_p17_00105e48	frontend-core	frontend-lifecycle	src/app/main_frontend_recovered.cpp	P1	src/ps2/progress28_structural_lift_recovered.c	strict EE GCC 3.2.2 object vs hash-pinned unpacked ELF; precise MIPS relocation masks only	split main/path/memory-card helpers; pin globals and link order; compare per function
0x001060dc	snes_p16_001060dc	frontend-core	frontend-lifecycle	src/app/main_frontend_recovered.cpp	P1	src/app/main_flow_recovered.c;src/ps2/progress28_structural_lift_recovered.c	strict EE GCC 3.2.2 object vs hash-pinned unpacked ELF; precise MIPS relocation masks only	split main/path/memory-card helpers; pin globals and link order; compare per function
0x001064c0	snes_p16_001064c0	frontend-core	frontend-lifecycle	src/app/main_frontend_recovered.cpp	P1	src/ps2/progress28_structural_lift_recovered.c	strict EE GCC 3.2.2 object vs hash-pinned unpacked ELF; precise MIPS relocation masks only	split main/path/memory-card helpers; pin globals and link order; compare per function
0x0010689c	snes_p16_0010689c	frontend-core	frontend-lifecycle	src/app/main_frontend_recovered.cpp	P1	src/app/main_flow_recovered.c;src/ps2/progress28_structural_lift_recovered.c	strict EE GCC 3.2.2 object vs hash-pinned unpacked ELF; precise MIPS relocation masks only	split main/path/memory-card helpers; pin globals and link order; compare per function
0x00106ca0	snes_p16_00106ca0	frontend-core	frontend-lifecycle	src/app/main_frontend_recovered.cpp	P1	src/ps2/progress28_structural_lift_recovered.c	strict EE GCC 3.2.2 object vs hash-pinned unpacked ELF; precise MIPS relocation masks only	split main/path/memory-card helpers; pin globals and link order; compare per function
0x00107358	snes_p16_00107358	frontend-core	frontend-lifecycle	src/app/main_frontend_recovered.cpp	P1	src/ps2/progress28_structural_lift_recovered.c	strict EE GCC 3.2.2 object vs hash-pinned unpacked ELF; precise MIPS relocation masks only	split main/path/memory-card helpers; pin globals and link order; compare per function
0x0010b8a4	snes_p17_0010b8a4	frontend-core	apu-core	src/snes9x/apu_ps2_recovered.cpp	P1	src/ps2/progress28_structural_lift_recovered.c	strict EE GCC 3.2.2 object vs hash-pinned unpacked ELF; precise MIPS relocation masks only	map official APU identities; patch PS2 state layout; rebuild the historical translation unit
0x0010bbcc	snes_p17_0010bbcc	frontend-core	apu-core	src/snes9x/apu_ps2_recovered.cpp	P1	src/ps2/progress28_structural_lift_recovered.c	strict EE GCC 3.2.2 object vs hash-pinned unpacked ELF; precise MIPS relocation masks only	map official APU identities; patch PS2 state layout; rebuild the historical translation unit
0x0010becc	snes_p17_0010becc	frontend-core	apu-core	src/snes9x/apu_ps2_recovered.cpp	P1	src/ps2/progress28_structural_lift_recovered.c	strict EE GCC 3.2.2 object vs hash-pinned unpacked ELF; precise MIPS relocation masks only	map official APU identities; patch PS2 state layout; rebuild the historical translation unit
0x0010c094	snes_p16_0010c094	frontend-core	apu-core	src/snes9x/apu_ps2_recovered.cpp	P1	src/ps2/progress28_structural_lift_recovered.c	strict EE GCC 3.2.2 object vs hash-pinned unpacked ELF; precise MIPS relocation masks only	map official APU identities; patch PS2 state layout; rebuild the historical translation unit
0x0010c1f8	snes_p16_0010c1f8	frontend-core	apu-core	src/snes9x/apu_ps2_recovered.cpp	P1	src/ps2/progress28_structural_lift_recovered.c	strict EE GCC 3.2.2 object vs hash-pinned unpacked ELF; precise MIPS relocation masks only	map official APU identities; patch PS2 state layout; rebuild the historical translation unit
0x0010c340	snes_p16_0010c340	frontend-core	apu-core	src/snes9x/apu_ps2_recovered.cpp	P1	src/ps2/progress28_structural_lift_recovered.c	strict EE GCC 3.2.2 object vs hash-pinned unpacked ELF; precise MIPS relocation masks only	map official APU identities; patch PS2 state layout; rebuild the historical translation unit
0x0010c6f8	snes_p16_0010c6f8	frontend-core	apu-core	src/snes9x/apu_ps2_recovered.cpp	P1	src/ps2/progress28_structural_lift_recovered.c	strict EE GCC 3.2.2 object vs hash-pinned unpacked ELF; precise MIPS relocation masks only	map official APU identities; patch PS2 state layout; rebuild the historical translation unit
0x0010cdcc	snes_p17_0010cdcc	frontend-core	apu-core	src/snes9x/apu_ps2_recovered.cpp	P1	src/ps2/progress28_structural_lift_recovered.c	strict EE GCC 3.2.2 object vs hash-pinned unpacked ELF; precise MIPS relocation masks only	map official APU identities; patch PS2 state layout; rebuild the historical translation unit
0x0010cfa4	snes_p17_0010cfa4	frontend-core	apu-core	src/snes9x/apu_ps2_recovered.cpp	P1	src/ps2/progress28_structural_lift_recovered.c	strict EE GCC 3.2.2 object vs hash-pinned unpacked ELF; precise MIPS relocation masks only	map official APU identities; patch PS2 state layout; rebuild the historical translation unit
0x0010d2a8	snes_p16_0010d2a8	frontend-core	apu-core	src/snes9x/apu_ps2_recovered.cpp	P1	src/ps2/progress28_structural_lift_recovered.c	strict EE GCC 3.2.2 object vs hash-pinned unpacked ELF; precise MIPS relocation masks only	map official APU identities; patch PS2 state layout; rebuild the historical translation unit
0x0010d4f0	snes_p16_0010d4f0	frontend-core	apu-core	src/snes9x/apu_ps2_recovered.cpp	P1	src/ps2/progress28_structural_lift_recovered.c	strict EE GCC 3.2.2 object vs hash-pinned unpacked ELF; precise MIPS relocation masks only	map official APU identities; patch PS2 state layout; rebuild the historical translation unit
0x0010d7dc	snes_p17_0010d7dc	frontend-core	apu-core	src/snes9x/apu_ps2_recovered.cpp	P1	src/ps2/progress28_structural_lift_recovered.c	strict EE GCC 3.2.2 object vs hash-pinned unpacked ELF; precise MIPS relocation masks only	map official APU identities; patch PS2 state layout; rebuild the historical translation unit
0x001833a4	snes_p13_write_record_001833a4	frontend	spc7110-record-io	src/snes9x/spc7110_ps2_io_recovered.cpp	P1	src/snes9x/progress13_frontend_more_recovered.c;src/snes9x/sram_recovered.c	strict EE GCC 3.2.2 object vs hash-pinned unpacked ELF; precise MIPS relocation masks only	rebuild the fixed 24-byte fio record path and prove terminal boundaries
0x001834f0	snes_p13_read_record_001834f0	frontend	spc7110-record-io	src/snes9x/spc7110_ps2_io_recovered.cpp	P1	src/snes9x/progress13_frontend_more_recovered.c;src/snes9x/sram_recovered.c	strict EE GCC 3.2.2 object vs hash-pinned unpacked ELF; precise MIPS relocation masks only	rebuild the fixed 24-byte fio record path and prove terminal boundaries
