address	name	area	track	work_packet	historical_identity	working_translation_unit	priority	source_model	matching_gate	next_action
0x001064c0	snes_p16_001064c0	frontend-core	frontend-ownership	frontend-lifecycle		src/app/main_frontend_recovered.cpp	P1	src/ps2/progress28_structural_lift_recovered.c	strict EE GCC 3.2.2 object vs hash-pinned unpacked ELF; precise MIPS relocation masks only	freeze path, memory-card and application globals plus object/link order
0x0010689c	snes_p16_0010689c	frontend-core	frontend-ownership	frontend-lifecycle		src/app/main_frontend_recovered.cpp	P1	src/app/main_flow_recovered.c;src/ps2/progress28_structural_lift_recovered.c	strict EE GCC 3.2.2 object vs hash-pinned unpacked ELF; precise MIPS relocation masks only	freeze path, memory-card and application globals plus object/link order
0x00106ca0	snes_p16_00106ca0	frontend-core	frontend-ownership	frontend-lifecycle		src/app/main_frontend_recovered.cpp	P1	src/ps2/progress28_structural_lift_recovered.c	strict EE GCC 3.2.2 object vs hash-pinned unpacked ELF; precise MIPS relocation masks only	freeze path, memory-card and application globals plus object/link order
0x00107358	snes_p16_00107358	frontend-core	frontend-ownership	frontend-lifecycle		src/app/main_frontend_recovered.cpp	P1	src/ps2/progress28_structural_lift_recovered.c	strict EE GCC 3.2.2 object vs hash-pinned unpacked ELF; precise MIPS relocation masks only	freeze path, memory-card and application globals plus object/link order
0x0010b8a4	snes_p17_0010b8a4	frontend-core	historical-source	c4-core	C4TransfWireFrame	src/snes9x/c4_ps2_recovered.cpp	P1	src/ps2/progress28_structural_lift_recovered.c	strict EE GCC 3.2.2 object vs hash-pinned unpacked ELF; precise MIPS relocation masks only	recover the SNES Station float/math and state-layout deltas in c4/c4emu
0x0010bbcc	snes_p17_0010bbcc	frontend-core	historical-source	c4-core	C4TransfWireFrame2	src/snes9x/c4_ps2_recovered.cpp	P1	src/ps2/progress28_structural_lift_recovered.c	strict EE GCC 3.2.2 object vs hash-pinned unpacked ELF; precise MIPS relocation masks only	recover the SNES Station float/math and state-layout deltas in c4/c4emu
0x0010becc	snes_p17_0010becc	frontend-core	historical-source	c4-core	C4CalcWireFrame	src/snes9x/c4_ps2_recovered.cpp	P1	src/ps2/progress28_structural_lift_recovered.c	strict EE GCC 3.2.2 object vs hash-pinned unpacked ELF; precise MIPS relocation masks only	recover the SNES Station float/math and state-layout deltas in c4/c4emu
0x0010c094	snes_p16_0010c094	frontend-core	historical-source	c4-core	C4Op1F	src/snes9x/c4_ps2_recovered.cpp	P1	src/ps2/progress28_structural_lift_recovered.c	strict EE GCC 3.2.2 object vs hash-pinned unpacked ELF; precise MIPS relocation masks only	recover the SNES Station float/math and state-layout deltas in c4/c4emu
0x0010c1f8	snes_p16_0010c1f8	frontend-core	historical-source	c4-core	C4Op15	src/snes9x/c4_ps2_recovered.cpp	P1	src/ps2/progress28_structural_lift_recovered.c	strict EE GCC 3.2.2 object vs hash-pinned unpacked ELF; precise MIPS relocation masks only	recover the SNES Station float/math and state-layout deltas in c4/c4emu
0x0010c340	snes_p16_0010c340	frontend-core	historical-source	c4-core	C4ConvOAM	src/snes9x/c4_ps2_recovered.cpp	P1	src/ps2/progress28_structural_lift_recovered.c	strict EE GCC 3.2.2 object vs hash-pinned unpacked ELF; precise MIPS relocation masks only	recover the SNES Station float/math and state-layout deltas in c4/c4emu
0x0010c6f8	snes_p16_0010c6f8	frontend-core	historical-source	c4-core	C4DoScaleRotate	src/snes9x/c4_ps2_recovered.cpp	P1	src/ps2/progress28_structural_lift_recovered.c	strict EE GCC 3.2.2 object vs hash-pinned unpacked ELF; precise MIPS relocation masks only	recover the SNES Station float/math and state-layout deltas in c4/c4emu
0x0010cdcc	snes_p17_0010cdcc	frontend-core	historical-source	c4-core	C4DrawWireFrame	src/snes9x/c4_ps2_recovered.cpp	P1	src/ps2/progress28_structural_lift_recovered.c	strict EE GCC 3.2.2 object vs hash-pinned unpacked ELF; precise MIPS relocation masks only	recover the SNES Station float/math and state-layout deltas in c4/c4emu
0x0010cfa4	snes_p17_0010cfa4	frontend-core	historical-source	c4-core	C4TransformLines	src/snes9x/c4_ps2_recovered.cpp	P1	src/ps2/progress28_structural_lift_recovered.c	strict EE GCC 3.2.2 object vs hash-pinned unpacked ELF; precise MIPS relocation masks only	recover the SNES Station float/math and state-layout deltas in c4/c4emu
0x0010d2a8	snes_p16_0010d2a8	frontend-core	historical-source	c4-core	C4BitPlaneWave	src/snes9x/c4_ps2_recovered.cpp	P1	src/ps2/progress28_structural_lift_recovered.c	strict EE GCC 3.2.2 object vs hash-pinned unpacked ELF; precise MIPS relocation masks only	recover the SNES Station float/math and state-layout deltas in c4/c4emu
0x0010d4f0	snes_p16_0010d4f0	frontend-core	historical-source	c4-core	C4SprDisintegrate	src/snes9x/c4_ps2_recovered.cpp	P1	src/ps2/progress28_structural_lift_recovered.c	strict EE GCC 3.2.2 object vs hash-pinned unpacked ELF; precise MIPS relocation masks only	recover the SNES Station float/math and state-layout deltas in c4/c4emu
0x0010d7dc	snes_p17_0010d7dc	frontend-core	historical-source	c4-core	S9xSetC4	src/snes9x/c4_ps2_recovered.cpp	P1	src/ps2/progress28_structural_lift_recovered.c	strict EE GCC 3.2.2 object vs hash-pinned unpacked ELF; precise MIPS relocation masks only	recover the SNES Station float/math and state-layout deltas in c4/c4emu
0x0012c558	snes_p17_0012c558	snes-core-dsp	historical-source	dsp1-float		src/snes9x/dsp1_ps2_recovered.cpp	P2	src/ps2/progress28_structural_lift_recovered.c	strict EE GCC 3.2.2 object vs hash-pinned unpacked ELF; precise MIPS relocation masks only	recover the SNES Station floating implementation and exact DSP globals
0x0012cbd8	snes_p16_0012cbd8	snes-core-dsp	historical-source	dsp1-float		src/snes9x/dsp1_ps2_recovered.cpp	P2	src/ps2/progress27_large_state_cpu_batch_recovered.c;src/ps2/progress28_structural_lift_recovered.c	strict EE GCC 3.2.2 object vs hash-pinned unpacked ELF; precise MIPS relocation masks only	recover the SNES Station floating implementation and exact DSP globals
0x0012d05c	snes_p17_0012d05c	snes-core-dsp	historical-source	dsp1-float		src/snes9x/dsp1_ps2_recovered.cpp	P2	src/ps2/progress28_structural_lift_recovered.c	strict EE GCC 3.2.2 object vs hash-pinned unpacked ELF; precise MIPS relocation masks only	recover the SNES Station floating implementation and exact DSP globals
0x00151074	CMemory_Init	memory	historical-source	memory-ps2	CMemory::Init	src/snes9x/memory_ps2_recovered.cpp	P1	src/ps2/progress28_structural_lift_recovered.c;src/snes9x/memory_init_recovered.c	strict EE GCC 3.2.2 object vs hash-pinned unpacked ELF; precise MIPS relocation masks only	recover allocator ownership and the PS2 stream/IPS patch behavior
0x001584d0	CMemory_CheckForIPSPatch	memory-ppu	historical-source	memory-ps2	CMemory::CheckForIPSPatch	src/snes9x/memory_ps2_recovered.cpp	P1	src/ps2/progress28_structural_lift_recovered.c	strict EE GCC 3.2.2 object vs hash-pinned unpacked ELF; precise MIPS relocation masks only	recover allocator ownership and the PS2 stream/IPS patch behavior
0x001728d4	snapshot_Unfreeze	cpu-audio-runtime	historical-source	snapshot-zsnes	S9xUnfreezeZSNES	src/snes9x/snapshot_ps2_recovered.cpp	P2	src/ps2/progress28_structural_lift_recovered.c	strict EE GCC 3.2.2 object vs hash-pinned unpacked ELF; precise MIPS relocation masks only	recover the fio path, unaligned reads and target state layout
0x00175300	snes_p17_00175300	cpu-audio-runtime	historical-source	soundux-ps2		src/snes9x/soundux_ps2_recovered.cpp	P1	src/ps2/progress28_structural_lift_recovered.c	strict EE GCC 3.2.2 object vs hash-pinned unpacked ELF; precise MIPS relocation masks only	freeze PS2 channel/state layout and reproduce mixer arithmetic together
0x00175cb4	snes_p16_00175cb4	cpu-audio-runtime	historical-source	soundux-ps2		src/snes9x/soundux_ps2_recovered.cpp	P1	src/ps2/progress28_structural_lift_recovered.c	strict EE GCC 3.2.2 object vs hash-pinned unpacked ELF; precise MIPS relocation masks only	freeze PS2 channel/state layout and reproduce mixer arithmetic together
0x00176594	snes_p16_00176594	cpu-audio-runtime	historical-source	soundux-ps2		src/snes9x/soundux_ps2_recovered.cpp	P1	src/ps2/progress28_structural_lift_recovered.c	strict EE GCC 3.2.2 object vs hash-pinned unpacked ELF; precise MIPS relocation masks only	freeze PS2 channel/state layout and reproduce mixer arithmetic together
0x00177a84	snes_p16_00177a84	cpu-audio-runtime	historical-source	soundux-ps2		src/snes9x/soundux_ps2_recovered.cpp	P1	src/ps2/progress28_structural_lift_recovered.c	strict EE GCC 3.2.2 object vs hash-pinned unpacked ELF; precise MIPS relocation masks only	freeze PS2 channel/state layout and reproduce mixer arithmetic together
0x00177e6c	snes_p16_00177e6c	cpu-audio-runtime	historical-source	soundux-ps2		src/snes9x/soundux_ps2_recovered.cpp	P1	src/ps2/progress28_structural_lift_recovered.c	strict EE GCC 3.2.2 object vs hash-pinned unpacked ELF; precise MIPS relocation masks only	freeze PS2 channel/state layout and reproduce mixer arithmetic together
0x001806a4	snes_p17_001806a4	cpu-audio-runtime	historical-source	spc7110-cache		src/snes9x/spc7110_ps2_recovered.cpp	P1	src/ps2/progress28_structural_lift_recovered.c	strict EE GCC 3.2.2 object vs hash-pinned unpacked ELF; precise MIPS relocation masks only	recover custom cache/index records and PS2 fio ownership as one object
0x00180b80	snes_p16_00180b80	cpu-audio-runtime	historical-source	spc7110-cache		src/snes9x/spc7110_ps2_recovered.cpp	P1	src/ps2/progress28_structural_lift_recovered.c	strict EE GCC 3.2.2 object vs hash-pinned unpacked ELF; precise MIPS relocation masks only	recover custom cache/index records and PS2 fio ownership as one object
0x00182984	snes_p16_00182984	cpu-audio-runtime	historical-source	spc7110-cache		src/snes9x/spc7110_ps2_recovered.cpp	P1	src/ps2/progress28_structural_lift_recovered.c	strict EE GCC 3.2.2 object vs hash-pinned unpacked ELF; precise MIPS relocation masks only	recover custom cache/index records and PS2 fio ownership as one object
