address	name	area	track	work_packet	historical_identity	working_translation_unit	priority	source_model	matching_gate	next_action
0x0010d7dc	snes_p17_0010d7dc	frontend-core	historical-source	c4-core	S9xSetC4	src/snes9x/c4_ps2_recovered.cpp	P1	src/ps2/progress28_structural_lift_recovered.c	strict EE GCC 3.2.2 object vs hash-pinned unpacked ELF; precise MIPS relocation masks only	recover c4emu unaligned-word access, state layout and remaining PS2 deltas
0x0012c558	snes_p17_0012c558	snes-core-dsp	historical-source	dsp1-float		src/snes9x/dsp1_ps2_recovered.cpp	P2	src/ps2/progress28_structural_lift_recovered.c	strict EE GCC 3.2.2 object vs hash-pinned unpacked ELF; precise MIPS relocation masks only	recover the SNES Station floating implementation and exact DSP globals
0x001728d4	snapshot_Unfreeze	cpu-audio-runtime	historical-source	snapshot-zsnes	S9xUnfreezeZSNES	src/snes9x/snapshot_ps2_recovered.cpp	P2	src/ps2/progress28_structural_lift_recovered.c	strict EE GCC 3.2.2 object vs hash-pinned unpacked ELF; precise MIPS relocation masks only	recover the fio path, unaligned reads and target state layout
0x00175300	snes_p17_00175300	cpu-audio-runtime	historical-source	soundux-ps2		src/snes9x/soundux_ps2_recovered.cpp	P1	src/ps2/progress28_structural_lift_recovered.c	strict EE GCC 3.2.2 object vs hash-pinned unpacked ELF; precise MIPS relocation masks only	freeze PS2 channel/state layout and reproduce mixer arithmetic together
0x00175cb4	snes_p16_00175cb4	cpu-audio-runtime	historical-source	soundux-ps2		src/snes9x/soundux_ps2_recovered.cpp	P1	src/ps2/progress28_structural_lift_recovered.c	strict EE GCC 3.2.2 object vs hash-pinned unpacked ELF; precise MIPS relocation masks only	freeze PS2 channel/state layout and reproduce mixer arithmetic together
0x00176594	snes_p16_00176594	cpu-audio-runtime	historical-source	soundux-ps2		src/snes9x/soundux_ps2_recovered.cpp	P1	src/ps2/progress28_structural_lift_recovered.c	strict EE GCC 3.2.2 object vs hash-pinned unpacked ELF; precise MIPS relocation masks only	freeze PS2 channel/state layout and reproduce mixer arithmetic together
0x00177e6c	snes_p16_00177e6c	cpu-audio-runtime	historical-source	soundux-ps2		src/snes9x/soundux_ps2_recovered.cpp	P1	src/ps2/progress28_structural_lift_recovered.c	strict EE GCC 3.2.2 object vs hash-pinned unpacked ELF; precise MIPS relocation masks only	freeze PS2 channel/state layout and reproduce mixer arithmetic together
0x001806a4	snes_p17_001806a4	cpu-audio-runtime	historical-source	spc7110-cache		src/snes9x/spc7110_ps2_recovered.cpp	P1	src/ps2/progress28_structural_lift_recovered.c	strict EE GCC 3.2.2 object vs hash-pinned unpacked ELF; precise MIPS relocation masks only	recover custom cache/index records and PS2 fio ownership as one object
0x00180b80	snes_p16_00180b80	cpu-audio-runtime	historical-source	spc7110-cache		src/snes9x/spc7110_ps2_recovered.cpp	P1	src/ps2/progress28_structural_lift_recovered.c	strict EE GCC 3.2.2 object vs hash-pinned unpacked ELF; precise MIPS relocation masks only	recover custom cache/index records and PS2 fio ownership as one object
0x00182984	snes_p16_00182984	cpu-audio-runtime	historical-source	spc7110-cache		src/snes9x/spc7110_ps2_recovered.cpp	P1	src/ps2/progress28_structural_lift_recovered.c	strict EE GCC 3.2.2 object vs hash-pinned unpacked ELF; precise MIPS relocation masks only	recover custom cache/index records and PS2 fio ownership as one object
